Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 3217 u0_a281      20   0 8.5G  49M  33M S  0.0   1.3   0:07.38 com.google.android.ext.services
 3118 system       20   0 2.4G 3.4M 3.4M S  0.0   0.0   0:05.89 eris
 2836 u0_a142      20   0  10G 131M  99M S  0.0   3.5   1:19.98 com.sec.android.app.launcher
 2653 nfc          20   0 2.1G 3.9M 3.8M S  0.0   0.1   0:00.07 android.hardware.nfc-service.nxp
 2648 system       20   0 9.3G  39M  29M S  0.0   1.0   0:02.41 com.sec.imsservice:ImsUpdateService
 2616 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
 2515 system       20   0 8.5G  50M  35M S  0.0   1.3   0:27.33 com.sec.epdg
 2434 system       20   0 8.0G  36M  26M S  0.0   0.9   0:02.27 com.samsung.sec.android.teegris.tui_service
 2427 secure_element 20 0 8.0G  36M  27M S  0.0   0.9   0:01.33 com.android.se
 2422 system       20   0  10G  50M  37M S  0.0   1.3   1:39.18 com.sec.imsservice
 2408 nfc          20   0 8.3G  42M  30M S  0.0   1.1   0:10.38 com.android.nfc
 2393 system       20   0 8.3G  38M  28M S  0.0   1.0   0:02.97 com.sec.sve
 2145 radio        20   0 9.3G  75M  47M R  0.0   2.0   2:50.62 com.android.phone
 2126 root         10 -10    0    0    0 S  0.0   0.0   0:03.02 [rx_thread]
 2125 root         10 -10    0    0    0 S  0.0   0.0   0:57.98 [hif_thread]
 2123 root         10 -10    0    0    0 S  0.0   0.0   0:37.23 [main_thread]
 2120 wifi         20   0 2.3G 3.5M 3.4M S  0.0   0.0   0:01.34 android.hardware.wifi-service-lazy
 1555 radio        20   0 2.0G 3.4M 3.4M S  0.0   0.0   0:01.48 multiclientd -s 1
 1419 system       20   0 2.2G 4.1M 3.9M S  0.0   0.1   0:00.87 vendor.samsung.hardware.biometrics.fingerprint-service
 1417 system       20   0 2.1G 3.9M 3.9M S  0.0   0.1   0:00.12 netdagent
 1409 system       20   0 2.1G 3.9M 3.7M S  0.0   0.1   0:00.18 gatekeeperd /data/misc/gatekeeper
 1407 mediacodec   20   0 3.0G 4.9M 4.8M S  0.0   0.1   0:01.24 media.swcodec oid.media.swcodec/bin/mediaswcodec
 1395 radio        20   0 2.5G 6.2M 5.0M S  0.0   0.1   0:39.44 rild
 1356 system       20   0 2.3G 3.7M 3.6M S  0.0   0.1   0:02.84 vendor.samsung.hardware.gnss-service
 1351 system       20   0 2.3G 4.1M 3.9M S  0.0   0.1   0:05.32 vendor.mediatek.hardware.pq_aidl-service
 1350 media        20   0 2.2G 3.1M 3.1M S  0.0   0.0   0:00.04 v3avpud-64b -f
 1348 gps          20   0 2.9G 2.9M 2.8M S  0.0   0.0   0:02.38 mtk_agpsd
 1347 root         20   0 2.1G 3.9M 3.9M S  0.0   0.1   0:00.67 eara_io_service
 1346 shell        20   0 2.1G 2.9M 2.8M S  0.0   0.0   0:00.66 netdiag
 1345 system       20   0 2.0G 3.1M 2.9M S  0.0   0.0   0:01.25 mobile_log_d
 1344 system       20   0 2.0G 3.2M 3.1M S  0.0   0.0   0:00.04 thermald
 1343 shell        20   0 2.2G 2.7M 2.7M S  0.0   0.0   0:03.62 emdlogger
 1342 wifi         20   0 2.1G 3.4M 3.2M S  0.0   0.0   0:15.08 wificond
 1340 root         30  10 2.1G 3.5M 3.5M S  0.0   0.0   0:14.63 storaged
 1322 system       20   0 2.1G 3.5M 3.4M S  0.0   0.0   0:00.02 spqr_service
 1315 media        20   0 116M 1.0M 1.0M S  0.0   0.0   0:02.73 mediaserver32
 1312 media        20   0 2.3G 4.3M 3.8M S  0.0   0.1   0:00.31 media.metrics diametrics
 1309 mediaex      20   0 2.9G 4.8M 4.8M S  0.0   0.1   0:00.87 media.extractor aextractor
 1308 root         20   0 2.3G 4.2M 4.2M S  0.0   0.1   0:29.27 installd
 1306 system       20   0 2.1G 3.3M 3.3M S  0.0   0.0   0:02.11 connfwexe
 1304 system       20   0 2.2G 2.9M 2.7M S  0.0   0.0   0:03.40 ddexe
 1303 system       20   0 2.0G 3.6M 3.6M S  0.0   0.1   0:01.50 smdexe
 1302 incidentd    20   0 2.2G 3.4M 3.3M S  0.0   0.0   0:00.64 incidentd
 1301 system       20   0 2.2G 3.2M 3.2M S  0.0   0.0   0:00.77 imsd
 1299 system       20   0 2.1G 3.8M 3.6M S  0.0   0.1   0:00.02 fabric_crypto /data/misc/fabric_crypto
 1298 cameraserver 20   0 2.7G 5.3M 4.8M S  0.0   0.1   0:01.92 cameraserver
 1297 gps          20   0 2.5G 3.9M 3.9M S  0.0   0.1   0:13.26 mnld
 1296 wifi         20   0 2.1G 2.7M 2.7M S  0.0   0.0   0:00.67 wlan_assistant
 1295 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wlan_rst_thread]
 1272 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
 1266 root         20   0 2.1G 3.5M 3.5M S  0.0   0.0   0:15.15 thermal_core
 1251 nobody       20   0 2.1G 2.2M 2.0M S  0.0   0.0   0:02.49 traced
 1250 nobody       20   0 2.1G 2.0M 2.0M S  0.0   0.0   0:01.49 traced_probes
 1232 system       20   0 2.2G 3.6M 3.6M S  0.0   0.0   0:00.26 fpsgo
 1231 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq3_done_kt]
